iter	Logloss
0	0.635076985
1	0.5895798662
2	0.5455016006
3	0.5126372874
4	0.4876219313
5	0.453412371
6	0.4389329834
7	0.4017056583
8	0.3821240229
9	0.3694969655
10	0.3515535576
11	0.3318952135
12	0.3192413605
13	0.2921819258
14	0.2821220834
15	0.2681207781
16	0.2556958747
17	0.246501039
18	0.237968925
19	0.2304834523
20	0.2188798072
21	0.2102537669
22	0.1984376481
23	0.1892865544
24	0.1839192553
25	0.1769229646
26	0.1708413344
27	0.1644701969
28	0.1552299832
29	0.1484857746
30	0.1428524854
31	0.1384596515
32	0.1324775785
33	0.1249722836
34	0.1187647707
35	0.1153978547
36	0.1103394914
37	0.1069673609
38	0.1039237129
39	0.09998456054
40	0.09744833152
41	0.09352133061
42	0.08915272132
43	0.08559910876
44	0.08245160305
45	0.08036792438
46	0.07819142569
47	0.07582234905
48	0.07317555097
49	0.07098552111
50	0.06773501273
51	0.06542652139
52	0.06334809715
53	0.06157459945
54	0.05962469216
55	0.05767905413
56	0.05579697027
57	0.05413676464
58	0.05281140652
59	0.0511471493
60	0.04997028564
61	0.04841971021
62	0.0470076752
63	0.04582996903
64	0.04411567166
65	0.04319702545
66	0.04207956951
67	0.0409942739
68	0.03904559425
69	0.03833850229
70	0.03752564531
71	0.03636199709
72	0.03575542036
73	0.03535140908
74	0.03488991897
75	0.03412069934
76	0.03326002376
77	0.03269685425
78	0.03212903934
79	0.03162488453
80	0.03090872194
81	0.03042688437
82	0.02989633275
83	0.02931230496
84	0.0286050497
85	0.02809447339
86	0.02746542138
87	0.02692248902
88	0.0263638439
89	0.02577953887
90	0.02537266726
91	0.02483041437
92	0.02449897301
93	0.02408661138
94	0.02382512958
95	0.02335896484
96	0.02293205642
97	0.02265884452
98	0.02220324439
99	0.02171859022
100	0.0214746752
101	0.02117609657
102	0.02086154401
103	0.02057697196
