iter	Passed	Remaining
0	19	3772
1	40	3829
2	59	3793
3	80	3795
4	101	3806
5	123	3840
6	147	3921
7	173	4023
8	200	4105
9	224	4113
10	247	4096
11	269	4068
12	292	4049
13	315	4033
14	340	4036
15	361	3995
16	385	3995
17	408	3971
18	431	3947
19	452	3916
20	477	3912
21	500	3888
22	523	3869
23	548	3859
24	572	3845
25	594	3818
26	620	3814
27	644	3799
28	669	3786
29	695	3779
30	735	3844
31	769	3871
32	800	3879
33	837	3917
34	867	3917
35	896	3909
36	933	3934
37	965	3939
38	1006	3973
39	1086	4156
40	1118	4148
41	1159	4169
42	1201	4192
43	1253	4246
44	1298	4270
45	1335	4267
46	1365	4241
47	1397	4220
48	1443	4242
49	1499	4288
50	1531	4264
51	1594	4324
52	1640	4334
53	1672	4304
54	1706	4280
55	1742	4263
56	1777	4241
57	1815	4226
58	1852	4208
59	1965	4357
60	2062	4463
61	2146	4536
62	2176	4490
63	2231	4497
64	2268	4466
65	2333	4489
66	2366	4450
67	2400	4412
68	2436	4379
69	2485	4367
70	2520	4330
71	2556	4295
72	2685	4414
73	2721	4375
74	2761	4345
75	2842	4376
76	2887	4350
77	2922	4308
78	2959	4270
79	2995	4230
80	3034	4195
81	3094	4189
82	3130	4148
83	3202	4155
84	3229	4103
85	3260	4056
86	3295	4015
87	3327	3970
88	3381	3951
89	3457	3956
90	3494	3916
91	3542	3889
92	3645	3919
93	3676	3871
94	3710	3827
95	3742	3781
96	3775	3736
97	3873	3755
98	3909	3712
99	4073	3787
100	4108	3742
101	4141	3695
102	4174	3647
103	4393	3759
