iter	Logloss
0	0.6514187466
1	0.6332098323
2	0.6091492913
3	0.5948518359
4	0.5849503697
5	0.576022133
6	0.5663026623
7	0.5601571158
8	0.5451318796
9	0.54338143
10	0.5314264338
11	0.5287913421
12	0.5242825935
13	0.521203763
14	0.5149814072
15	0.5038771833
16	0.4849212103
17	0.462778305
18	0.4554961376
19	0.447683873
20	0.4376968604
21	0.4296710419
22	0.4261918925
23	0.4129944723
24	0.4063295559
25	0.386340881
26	0.3738696466
27	0.3710983024
28	0.3656569982
29	0.3583364154
30	0.3499002997
31	0.3443666045
32	0.3396470736
33	0.3284960961
34	0.3208840617
35	0.3072623355
36	0.290941966
37	0.2851173112
38	0.2777140802
39	0.2646186957
40	0.2619637165
41	0.257874719
42	0.2550777703
43	0.2524002472
44	0.2438413619
45	0.239877297
46	0.2366885038
47	0.2299705977
48	0.224941643
49	0.2205280731
50	0.2144918304
51	0.2080981688
52	0.201807471
53	0.2000093688
