iter	Passed	Remaining
0	1	88
1	4	105
2	5	96
3	7	90
4	10	101
5	12	97
6	13	92
7	17	97
8	19	96
9	25	110
10	31	123
11	38	136
12	45	143
13	56	160
14	58	150
15	60	143
16	62	135
17	63	127
18	66	123
19	68	117
20	70	110
21	73	107
22	75	102
23	78	97
24	80	92
25	81	88
26	84	84
27	86	80
28	89	77
29	91	73
30	93	69
31	96	66
32	98	62
33	101	59
34	104	56
35	107	53
36	110	50
37	113	47
38	115	44
39	116	40
40	120	38
41	121	34
42	125	32
43	127	28
44	131	26
45	133	23
46	135	20
47	138	17
48	140	14
49	143	11
50	147	8
51	149	5
52	154	2
53	158	0
